,aci_value,date,location,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_041500.wav,58.25515574,20250521_041500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_043000.wav,60.70277141,20250521_043000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_044500.wav,81.23188738,20250521_044500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_050000.wav,58.02374388,20250521_050000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_051500.wav,58.13656912,20250521_051500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_053000.wav,52.21392147,20250521_053000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_054500.wav,69.1647796,20250521_054500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_060000.wav,57.75496036,20250521_060000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_061500.wav,52.2159648,20250521_061500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_063000.wav,54.66755905,20250521_063000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_064500.wav,50.71623303,20250521_064500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_070000.wav,50.65250908,20250521_070000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_071500.wav,53.35117108,20250521_071500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_073000.wav,50.1649206,20250521_073000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_074500.wav,50.17128633,20250521_074500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_080000.wav,50.25358126,20250521_080000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_081500.wav,51.00948167,20250521_081500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_083000.wav,50.56479593,20250521_083000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_084500.wav,53.17271573,20250521_084500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_090000.wav,52.80306951,20250521_090000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_091500.wav,53.00360008,20250521_091500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_093000.wav,60.82996588,20250521_093000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_094500.wav,57.24449761,20250521_094500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_100000.wav,52.97045144,20250521_100000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_101500.wav,56.63335751,20250521_101500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_103000.wav,56.86133317,20250521_103000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_104500.wav,61.05698266,20250521_104500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_110000.wav,54.03109054,20250521_110000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_111500.wav,53.50099384,20250521_111500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_113000.wav,55.59827365,20250521_113000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_114500.wav,53.30330395,20250521_114500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_120000.wav,51.98648975,20250521_120000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_121500.wav,53.73761809,20250521_121500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_123000.wav,59.22871122,20250521_123000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_124500.wav,53.37299107,20250521_124500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_130000.wav,51.31458658,20250521_130000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_131500.wav,53.52858954,20250521_131500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_133000.wav,49.25964951,20250521_133000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_134500.wav,50.14413844,20250521_134500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_140000.wav,53.83050715,20250521_140000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_141500.wav,51.50303633,20250521_141500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_143000.wav,54.72869376,20250521_143000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_144500.wav,54.33859645,20250521_144500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_150000.wav,54.84332146,20250521_150000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_151500.wav,55.02398948,20250521_151500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_153000.wav,57.33028464,20250521_153000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_154500.wav,53.24111251,20250521_154500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_160000.wav,54.07928854,20250521_160000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_161500.wav,59.28933154,20250521_161500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250521_163000.wav,72.91710381,20250521_163000,LVR,
